"current A","U12 V","U45 V","U14 V","U25 V","total voltage V"
-0.0024832,-0.017558,-0.014672,0.00029405,0.0017986,-2.74
-0.0024369,-0.017227,-0.015076,0.00051871,0.00176,-2.71
-0.0023909,-0.016915,-0.014153,0.00083161,0.0017337,-2.64
-0.0023448,-0.016582,-0.014192,0.0014557,0.0016912,-2.61
-0.0022988,-0.016239,-0.013869,0.00011272,0.0016628,-2.54
-0.0022526,-0.015931,-0.013067,0.00064288,0.0016251,-2.51
-0.0022067000000000002,-0.015621,-0.012919,0.0013807,0.0016015,-2.46
-0.0021607,-0.015275,-0.01336,0.00071894,0.0015718,-2.41
-0.0021147,-0.014955,-0.012473,0.00011296,0.0015343,-2.36
-0.0020689,-0.014641,-0.011586,0.00040746,0.0014949,-2.31
-0.0020227,-0.014308,-0.012407,0.0018808,0.0014669,-2.24
-0.0019771000000000003,-0.013966,-0.011806,0.0006514,0.0014328,-2.21
-0.0019309000000000002,-0.013656,-0.0114,0.00032882,0.0013998,-2.16
-0.0018851,-0.013345,-0.010828,0.00042988,0.0013716,-2.1
-0.0018394000000000001,-0.013008,-0.011585,0.0013128,0.001343,-2.06
-0.0017935,-0.01265,-0.011054,0.00088717,0.0013094,-2.01
-0.0017477,-0.012366,-0.010983,0.00070295,0.0012723,-1.96
-0.0017020000000000002,-0.012034,-0.010336,0.0010383,0.0012415,-1.91
-0.0016563000000000003,-0.011697,-0.010934,0.00099363,0.0011998,-1.86
-0.0016106,-0.0114,-0.0099201,0.00096623,0.0011818,-1.81
-0.0015650000000000002,-0.011071,-0.010186,0.0011649,0.0011406,-1.76
-0.0015194,-0.010741,-0.0095783,0.0019795,0.00111,-1.71
-0.0014737,-0.010427,-0.0083137,0.00055116,0.001073,-1.66
-0.0014282000000000001,-0.01012,-0.0095191,0.000010371,0.001045,-1.61
-0.0013825,-0.0097763,-0.00829,0.00078733,0.001015,-1.56
-0.001337,-0.0094577,-0.0090387,0.0019405,0.00097799,-1.51
-0.0012914,-0.0091307,-0.0075731,0.00044721,0.00094986,-1.46
-0.0012460000000000001,-0.0088155,-0.0080145,0.0021378,0.0009126,-1.41
-0.0012005000000000002,-0.0085036,-0.0063548,0.0015904,0.00087555,-1.36
-0.0011552,-0.008174,-0.0074444,0.00072047,0.00084811,-1.31
-0.0011098,-0.0078438,-0.0069679,0.0019941,0.000817,-1.26
-0.0010643,-0.0075465,-0.0069475,0.00056027,0.00078586,-1.21
-0.0010191,-0.0072057,-0.0062843,0.0016705,0.00074824,-1.16
-0.00097364,-0.0068948,-0.007579,0.00064173,0.00071731,-1.11
-0.00092856,-0.0065859,-0.0053343,0.0025281,0.00068985,-1.06
-0.0008833199999999999,-0.0062473,-0.0059004,0.0015205,0.00066592,-1.
-0.00083816,-0.0059278,-0.0063843,0.0019231,0.00062653,-0.96
-0.000793,-0.005623,-0.0037001,0.0012979,0.00059227,-0.9
-0.0007481,-0.0053009,-0.0046697,0.00089937,0.00055871,-0.86
-0.00070316,-0.0049918,-0.0041935,0.00053831,0.00053649,-0.8
-0.00065813,-0.0046618,-0.0019852,0.0017723,0.00049662,-0.76
-0.00061343,-0.0043422,-0.0035369,0.0016871,0.00047074,-0.71
-0.00056851,-0.0040382,-0.00428,0.00089134,0.00043056,-0.66
-0.00052397,-0.0037191,-0.0031036,0.0011519,0.00040899,-0.61
-0.00047932000000000004,-0.0034039,-0.0032207,0.0004194,0.00036977,-0.56
-0.00043492000000000004,-0.0030734,-0.0029568,0.0014765,0.0003381,-0.51
-0.00039043,-0.0027618,-0.0024471,0.0013408,0.0003064,-0.46
-0.00034619,-0.0024294,-0.0022885,0.0014931,0.0002711,-0.41
-0.00030216000000000005,-0.0021237,-0.0026276,0.0012924,0.0002381,-0.35
-0.00025822000000000003,-0.0018296,-0.0015224,0.0011681,0.000208,-0.31
-0.00021458,-0.0015274,-0.0028998,0.0017492,0.00018265,-0.25
-0.00017099000000000001,-0.0011991,0.000010489,0.0018528,0.00014431,-0.21
-0.00012791000000000001,-0.00091652,-0.0016156,0.0021448,0.00012169,-0.14
-0.00008506,-0.00061892,0.00046548,0.0029923,0.000081483,-0.1
1.6969e-6,0.000018581,-0.00041117,-0.00098603,0.000028451,0.01
0.000041716000000000005,0.00030401,0.0001741,-0.000060044,-4.373e-6,0.04
0.000080392,0.00057368,-0.00042754,0.0011123,-0.000020855,0.08
0.00011857000000000001,0.0008236,0.0010869,0.0013737,-0.00005709,0.16
0.00015674000000000002,0.0011109,0.0023511,0.0016474,-0.000082959,0.21
0.00019593000000000003,0.001376,0.00093161,0.0020664,-0.00011178,0.24
0.00023587,0.001669,0.0015296,0.00068902,-0.0001361,0.31
0.00027674000000000004,0.0019643,0.0010257,0.0019456,-0.00016946,0.35
0.00031825,0.0022477,0.0021495,-0.00024375,-0.00020288,0.41
0.00036036000000000005,0.0025449,0.0024532,0.0017814,-0.00022859,0.45
0.00040309,0.0028551,0.0029474,0.002294,-0.00025916,0.51
0.00044615000000000003,0.0031586,0.0027536,0.00066233,-0.00029022,0.55
0.0004896400000000001,0.0034448,0.0031406,0.0019321,-0.00031589,0.61
0.00053326,0.0037714,0.0026742,-0.0003417,-0.00035303,0.66
0.00057731,0.0041151,0.0028255,0.0014728,-0.00038283,0.71
0.00062139,0.0043945,0.0036826,0.0016634,-0.00041345,0.76
0.0006659600000000001,0.004711,0.002979,0.0016332,-0.00044231,0.81
