"current A","U12 V","U45 V","U14 V","U25 V","total voltage V"
-0.030071,-0.029785,-0.024485,-0.0021192,0.0031832,-3.18
-0.030071,-0.029784,-0.02449,-0.0021103,0.0031831,-3.18
-0.030071,-0.029781,-0.024482,-0.0021217,0.0031838,-3.15
-0.029408,-0.029125,-0.023939,-0.0020793,0.0031136,-3.11
-0.028455,-0.028181,-0.023162,-0.0020159,0.0030135,-2.99
-0.027504,-0.027239,-0.022375,-0.0019579,0.0029111,-2.91
-0.026553,-0.026296,-0.021614,-0.0018813,0.0028113,-2.79
-0.026188,-0.02594,-0.021385,-0.0017991,0.0027737,-2.81
-0.025602,-0.025355,-0.020847,-0.0017988,0.0027098,-2.71
-0.025241,-0.025002,-0.020607,-0.001725,0.0026733,-2.71
-0.024652,-0.024412,-0.020025,-0.0017883,0.0026105,-2.59
-0.024291,-0.024061,-0.019846,-0.0016627,0.0025735,-2.61
-0.0237,-0.023471,-0.019256,-0.0017065,0.0025092,-2.51
-0.023342,-0.023122,-0.019065,-0.0015949,0.0024725,-2.5
-0.022753,-0.022531,-0.018477,-0.0016479,0.0024089,-2.4
-0.022396,-0.022182,-0.018293,-0.0015193,0.0023711,-2.41
-0.021802,-0.021589,-0.017694,-0.0016147,0.0023083,-2.31
-0.02145,-0.021246,-0.01754,-0.0014473,0.0022726,-2.31
-0.020853,-0.020649,-0.016916,-0.0015293,0.002207,-2.21
-0.0205,-0.020303,-0.01675,-0.0013907,0.0021712,-2.21
-0.0199,-0.019707,-0.016148,-0.0014614,0.0021069,-2.11
-0.019547,-0.019362,-0.015985,-0.0013149,0.0020703,-2.1
-0.018952,-0.018766,-0.015382,-0.0013721,0.0020062,-2.01
-0.018598,-0.018422,-0.01521,-0.0012495,0.0019701,-2.01
-0.018003,-0.017825,-0.014605,-0.0013244,0.0019057,-1.91
-0.017655,-0.017487,-0.014457,-0.001168,0.0018689,-1.91
-0.017054,-0.016886,-0.013829,-0.0012601,0.0018055,-1.81
-0.016709,-0.016551,-0.013684,-0.0011038,0.0017698,-1.78
-0.016104,-0.015946,-0.01307,-0.001176,0.001705,-1.67
-0.015764,-0.015615,-0.012923,-0.0010256,0.0016706,-1.71
-0.015156,-0.015007,-0.012293,-0.0011142,0.0016044,-1.61
-0.014824,-0.014681,-0.012155,-0.00096385,0.0015707,-1.58
-0.014209,-0.014067,-0.011519,-0.0010448,0.0015033,-1.51
-0.013877,-0.013746,-0.011395,-0.00089237,0.0014698,-1.51
-0.01326,-0.013129,-0.010736,-0.0009953,0.001404,-1.41
-0.012928,-0.012807,-0.010628,-0.00081978,0.0013705,-1.38
-0.012313,-0.012191,-0.0099644,-0.00093029,0.0013012,-1.27
-0.011985,-0.011876,-0.0098534,-0.0007614,0.0012691,-1.31
-0.011366,-0.011252,-0.0091652,-0.00087044,0.0012019,-1.21
-0.011042,-0.010937,-0.0090926,-0.00069891,0.0011695,-1.18
-0.010417,-0.010312,-0.0084054,-0.00080878,0.0011011,-1.08
-0.010102,-0.01001,-0.0083424,-0.00061589,0.0010696,-1.11
-0.0094704,-0.0093738,-0.0076271,-0.00074349,0.0010026,-1.01
-0.0091629,-0.0090777,-0.0075277,-0.00058495,0.00097047,-0.98
-0.0085231,-0.0084367,-0.0068615,-0.00067809,0.00090159,-0.89
-0.008231,-0.0081553,-0.0067295,-0.0005542,0.00087146,-0.91
-0.0075772,-0.0075014,-0.0060948,-0.00060183,0.00080196,-0.81
-0.0072999,-0.0072315,-0.0059857,-0.00048485,0.00077279,-0.78
-0.0066312,-0.0065628,-0.0053273,-0.00053613,0.0007018,-0.68
-0.0063717,-0.0063125,-0.005219,-0.00041903,0.00067512,-0.71
-0.0056844,-0.0056245,-0.0045582,-0.00046285,0.00060141,-0.61
-0.0054464,-0.0053976,-0.0044595,-0.00037185,0.0005765,-0.57
-0.0047397,-0.0046889,-0.0037725,-0.00041569,0.00050036,-0.48
-0.0045285,-0.0044898,-0.0037198,-0.00029016,0.00047907,-0.51
-0.0037947,-0.0037534,-0.0030026,-0.00035621,0.00040037,-0.41
-0.0036096,-0.0035801,-0.0029766,-0.00022862,0.00038083,-0.41
-0.0028508,-0.0028194,-0.0022336,-0.00028228,0.0002991,-0.31
-0.0026991,-0.0026788,-0.0022409,-0.00015184,0.00028516,-0.31
-0.0019069,-0.0018851,-0.001468,-0.00023339,0.00020045,-0.21
-0.0017959,-0.0017856,-0.0015071,-0.000080412,0.00018933,-0.21
-0.00096262,-0.00094987,-0.000706,-0.00014791,0.00010029,-0.11
-0.00090085,-0.00090009,-0.00076829,-0.000034553,0.000094576,-0.08
-0.000022712,-0.00001964,0.000070501,-0.00009183,1.0659e-7,-0.01
-0.000019872,-0.000029972,-0.000063276,0.000047214,1.4291e-6,-0.01
0.000022204,0.000034153,0.00012453,-0.000091864,-6.1174e-6,0.01
0.00096383,0.0009645,0.00088557,-0.000031925,-0.00010594,0.11
0.0018961,0.0018754,0.0015836,0.000090985,-0.00020293,0.21
0.0019091,0.0018983,0.0016429,0.000052077,-0.00020561,0.19
0.0028345,0.0028048,0.0023397,0.00015028,-0.00030189,0.31
0.0028512,0.00283,0.0024174,0.00010625,-0.00030512,0.31
0.0037707,0.0037315,0.0030844,0.00024267,-0.00040156,0.41
0.003794,0.0037629,0.0031951,0.00016328,-0.00040501,0.4
0.0047111,0.0046627,0.0038614,0.00030367,-0.00050206,0.51
0.0047374,0.0046977,0.0039717,0.00023721,-0.00050543,0.51
0.0056493,0.0055922,0.004628,0.00036248,-0.00060065,0.59
0.0056805,0.0056325,0.0047417,0.00028419,-0.00060472,0.6
0.0065884,0.0065246,0.0054026,0.0004253,-0.00070103,0.71
0.0066237,0.0065662,0.0055065,0.00035912,-0.00070543,0.71
0.0075273,0.0074544,0.0061783,0.00047927,-0.00080007,0.79
0.0075689,0.0075031,0.0062608,0.00044229,-0.00080617,0.79
0.0084661,0.0083842,0.0069425,0.00055036,-0.0009003,0.91
0.0085155,0.0084398,0.0070156,0.00052285,-0.00090609,0.91
0.0094056,0.009315,0.0077084,0.00061034,-0.0010004,0.99
0.0094569,0.0093723,0.0077771,0.00058139,-0.0010058,1.
0.010346,0.010247,0.0084755,0.00066874,-0.0011002,1.11
0.0104,0.010306,0.008547,0.00065866,-0.0011061,1.11
0.011289,0.011183,0.0092428,0.00073672,-0.0012005,1.2
0.011346,0.011244,0.0093199,0.00072434,-0.0012061,1.2
0.012231,0.012116,0.010019,0.00080431,-0.0013,1.31
0.012291,0.01218,0.010081,0.00078759,-0.0013081,1.31
0.013172,0.013049,0.01079,0.00085881,-0.0014001,1.4
0.013235,0.013116,0.010858,0.00084874,-0.0014081,1.4
0.014113,0.013982,0.011552,0.00093704,-0.0015001,1.51
0.01418,0.014053,0.01163,0.00092717,-0.0015079,1.51
0.015056,0.014918,0.012307,0.0010127,-0.0016005,1.6
0.015123,0.01499,0.012406,0.00098099,-0.0016083,1.6
0.015999,0.015852,0.013062,0.0010968,-0.0017017,1.71
0.016068,0.015927,0.013149,0.0010727,-0.0017092,1.71
0.016941,0.016787,0.013828,0.0011594,-0.0018006,1.79
0.017014,0.016864,0.013926,0.0011284,-0.0018088,1.79
